p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Chr,start,end,strand,gene_anno
0,8.791751566270133,0.765,0.003,0,12,Caacu.v4.4G012240,Chr4,15838952,15840306,-,Lactoylglutathione lyase / glyoxalase I family protein
1.468402675826466e-271,8.486292381541542,0.706,0.004,3.4043447636360787e-267,12,Caacu.v4.2G022810,Chr2,27952090,27956752,-,aspartic proteinase A1
2.3806369307362154e-257,8.178163026002792,0.588,0.002,5.519268660218842e-253,12,Caacu.v4.5G009590,Chr5,7688029,7689276,-,Protein E6
1.0288719834142139e-211,8.335986184759154,0.647,0.004,2.3853368063475135e-207,12,Caacu.v4.3G009100,Chr3,7709887,7712318,-,Outward rectifying potassium channel protein
6.326450880702194e-176,7.7080830761076955,0.824,0.011,1.4667243721819967e-171,12,Caacu.v4.4G006860,Chr4,11000847,11002294,+,"Lipase/lipooxygenase, PLAT/LH2 family protein"
1.721181389806637e-175,10.453964441765446,0.294,0.001,3.9903869341277073e-171,12,Caacu.v4.20G005950,Chr20,4700575,4704248,-,voltage dependent anion channel
7.11670766971392e-141,7.406891677756899,0.412,0.003,1.649937506146475e-136,12,Caacu.v4.17G001210,Chr17,1895872,1897630,-,Family of unknown function (DUF716) 
7.938789266689218e-110,6.61451514344027,0.529,0.007,1.840528903589228e-105,12,Caacu.v4.16G002860,Chr16,2778711,2784631,-,Pectin lyase-like superfamily protein
2.160883326938976e-109,7.842328065526463,0.412,0.004,5.009791905175322e-105,12,Caacu.v4.3G010940,Chr3,9098719,9099396,+,Calcium-binding EF-hand family protein
1.1977053053253375e-107,7.522345834633069,0.529,0.007,2.7767599798662625e-103,12,Caacu.v4.12G008960,Chr12,14364306,14365919,-,Lactoylglutathione lyase / glyoxalase I family protein
1.1061349180353945e-98,6.62822873524619,0.824,0.022,2.5644631939732584e-94,12,Caacu.v4.2G008810,Chr2,7162052,7166082,+,cation exchanger
3.54349894019761e-98,7.513839554285471,0.353,0.003,8.215247942954139e-94,12,Caacu.v4.10G005810,Chr10,6193031,6199167,-,cyclic nucleotide-gated cation channel
3.224242188426287e-91,6.340782722209147,0.647,0.014,7.475083089647504e-87,12,Caacu.v4.14G008090,Chr14,6490459,6496887,-,aspartic proteinase A1
1.3104149775193725e-85,5.996571765528843,0.588,0.012,3.0380660838809133e-81,12,Caacu.v4.6G004500,Chr6,4161284,4167666,+,Elongator complex protein
6.642897326525658e-83,7.2769212632396725,0.412,0.006,1.5400893161817085e-78,12,Caacu.v4.5G008190,Chr5,6323919,6324772,+,Calcium-binding EF-hand family protein
4.1539202804837415e-82,7.552031421514323,0.294,0.003,9.630448778273505e-78,12,Caacu.v4.11G009400,Chr11,11553998,11555304,-,pinoid-binding protein
1.1624817507977996e-81,6.457792655778217,0.588,0.013,2.6950976910496186e-77,12,Caacu.v4.1G003420,Chr1,7370589,7389655,+,AMP-dependent synthetase and ligase family protein
7.379674580013279e-71,6.715381352253683,0.412,0.007,1.7109037546302786e-66,12,Caacu.v4.10G013250,Chr10,16161035,16162814,-,conserved hypothetical protein
3.14113898181578e-60,5.442017519142492,0.588,0.018,7.282416615441705e-56,12,Caacu.v4.12G008190,Chr12,13516649,13539019,+,chromatin remodeling
1.6642070147598722e-57,4.657474477193291,0.647,0.024,3.858297543019288e-53,12,Caacu.v4.21G008520,Chr21,10126875,10130612,+,Duplicated homeodomain-like superfamily protein
2.3369412631114173e-52,5.034140641976581,0.529,0.017,5.41796462439751e-48,12,Caacu.v4.10G011170,Chr10,14283630,14292636,+,Ubiquitin-like superfamily protein
2.134612598903128e-51,6.650315793818205,0.294,0.004,4.948885849297012e-47,12,Caacu.v4.13G000590,Chr13,451203,458784,-,Major facilitator superfamily protein
2.214211615394711e-51,6.647861071155072,0.294,0.005,5.133428209131098e-47,12,Caacu.v4.8G004220,Chr8,5879751,5885776,+,NAC domain containing protein
3.5356038201251635e-45,5.495035915087124,0.353,0.009,8.196943896578179e-41,12,Caacu.v4.3G004630,Chr3,3922090,3923741,-,hypothetical protein
3.299218351337199e-43,6.442301595037689,0.412,0.013,7.648907825740162e-39,12,Caacu.v4.1G017100,Chr1,23064498,23070806,-,alpha/beta-Hydrolases superfamily protein
5.1354653872571416e-42,6.037966823101015,0.471,0.018,1.1906062953816957e-37,12,Caacu.v4.7G012810,Chr7,17861468,17874578,-,Ypt/Rab-GAP domain of gyp1p superfamily protein
6.950383140747193e-37,5.1807522586724195,0.412,0.015,1.611376827350829e-32,12,Caacu.v4.18G007200,Chr18,6055099,6059716,-,Glucose-1-phosphate adenylyltransferase family protein
3.811560031831738e-32,4.94947495859393,0.529,0.03,8.836720777798702e-28,12,Caacu.v4.21G006100,Chr21,8050961,8059836,+,conserved hypothetical protein
7.96229423029952e-32,6.169570698038255,0.294,0.009,1.8459782943526406e-27,12,Caacu.v4.16G012630,Chr16,13809318,13817493,+,Auxin efflux carrier family protein
2.3917002882223705e-29,4.5650802541545055,0.412,0.019,5.544917948214744e-25,12,Caacu.v4.6G019790,Chr6,19484085,19491430,+,phosphomannomutase
4.896840402752756e-18,4.27349905046608,0.294,0.017,1.135283478974199e-13,12,Caacu.v4.18G006770,Chr18,5668439,5673760,+,"HAD superfamily, subfamily IIIB acid phosphatase "
1.853798317297616e-17,4.202686745516421,0.294,0.017,4.297846018822793e-13,12,Caacu.v4.1G025810,Chr1,30306996,30315096,-,RHO guanyl-nucleotide exchange factor
5.749210508935205e-17,4.772414700539002,0.294,0.018,1.3328969643915379e-12,12,Caacu.v4.21G007870,Chr21,9618450,9623197,+,Vesicle transport v-SNARE family protein
6.504647383344251e-16,3.562535161919752,0.412,0.036,1.508037449354531e-11,12,Caacu.v4.21G004470,Chr21,6445464,6447961,-,plasmodesmata-located protein
9.586644229177461e-16,3.6477020004457605,0.412,0.035,2.2225675980925026e-11,12,Caacu.v4.19G001920,Chr19,4999138,4999988,-,low-molecular-weight cysteine-rich
2.0739414050436643e-15,4.380759547228799,0.294,0.02,4.8082257534532314e-11,12,Caacu.v4.8G015990,Chr8,17038850,17044857,-,isopropylmalate dehydrogenase
8.698071583023392e-15,4.3112778061775,0.353,0.029,2.016560915808143e-10,12,Caacu.v4.1G035020,Chr1,37376785,37382348,+,tubby like protein
7.118773086575098e-14,3.64058001456303,0.412,0.043,1.6504163523915707e-9,12,Caacu.v4.10G015110,Chr10,17736940,17738803,-,metallothionein
1.9066474230959723e-12,3.846935018253664,0.294,0.024,4.420371385705702e-8,12,Caacu.v4.13G005000,Chr13,3957140,3969942,-,K-box region and MADS-box transcription factor family protein 
6.195689756668728e-12,3.7176815339462443,0.294,0.025,1.4364087131860778e-7,12,Caacu.v4.3G000690,Chr3,836273,840733,+,hypothetical protein
2.2759225021646984e-10,3.7268856988495744,0.294,0.03,5.276498729018637e-6,12,Caacu.v4.7G008280,Chr7,14196542,14198876,-,expansin A4
2.5495277553929176e-10,2.593550221962548,0.706,0.162,5.91082514810294e-6,12,Caacu.v4.17G009510,Chr17,13737885,13738822,+,metallothionein 2A
1.1223693903314028e-9,2.8956618168861974,0.294,0.031,2.602101194544324e-5,12,Caacu.v4.7G005240,Chr7,11072577,11073849,+,Stress responsive A/B Barrel Domain
4.081964944737634e-9,3.0429072903833827,0.529,0.107,9.463627527879731e-5,12,Caacu.v4.14G012730,Chr14,13885039,13889281,+,"GDP-D-mannose 3',5'-epimerase"
6.791262540187098e-9,2.449185285072232,0.412,0.063,1.574486307316977e-4,12,Caacu.v4.1G028130,Chr1,32162096,32178941,-,pleiotropic drug resistance
1.7593834512431496e-8,2.6567469849851277,0.588,0.134,4.078954593362118e-4,12,Caacu.v4.7G005220,Chr7,11054433,11057115,+,Stress responsive A/B Barrel Domain
1.141699224398071e-6,2.831966890742613,0.294,0.046,0.026469154818444876,12,Caacu.v4.17G007480,Chr17,11976531,11984078,+,ABC transporter family protein
3.829435928757735e-6,2.7106611470036164,0.294,0.05,0.08878164257231934,12,Caacu.v4.3G005230,Chr3,4386256,4393059,+,Major facilitator superfamily protein
9.910314650875516e-6,2.5127834586944933,0.294,0.053,0.22976073486589796,12,Caacu.v4.20G010490,Chr20,11365037,11372558,+,Xanthine/uracil permease family protein
3.067037176935981e-5,1.9153588992469521,0.471,0.135,0.7110618991008377,12,Caacu.v4.20G000280,Chr20,244404,246357,-,delta tonoplast integral protein
3.639530452242323e-5,2.1544392840986393,0.294,0.057,0.8437887400478601,12,Caacu.v4.5G003830,Chr5,2959038,2967162,+,ELMO/CED-12 family protein
4.5271789995179944e-5,2.439884636644189,0.353,0.086,1,12,Caacu.v4.14G006470,Chr14,4742915,4751111,+,Arginine and glutamate-rich 1 domain containing protein
4.821404481770618e-5,2.503814948488296,0.353,0.086,1,12,Caacu.v4.7G006050,Chr7,12010016,12012513,+,Heavy metal transport/detoxification superfamily protein 
6.122122530522623e-5,1.617320601376575,0.529,0.167,1,12,Caacu.v4.13G001340,Chr13,1029522,1032439,-,Papain family cysteine protease
6.824073308347044e-5,2.1016536398699595,0.353,0.085,1,12,Caacu.v4.16G010800,Chr16,10679211,10685487,-,cation exchanger
2.194242060524935e-4,2.150412542622215,0.353,0.093,1,12,Caacu.v4.12G010370,Chr12,15753978,15795411,-,kinesin-like calmodulin-binding protein (ZWICHEL)
2.941435479288779e-4,1.7451595631039012,0.294,0.067,1,12,Caacu.v4.6G003230,Chr6,3084111,3103835,-,"Splicing factor, CC1-like"
0.0013402107084348818,1.8649425246271938,0.294,0.082,1,12,Caacu.v4.18G010550,Chr18,10429957,10433659,-,Homeodomain-like superfamily protein
0.0013458062709904971,1.6773293789335444,0.294,0.08,1,12,Caacu.v4.9G011320,Chr9,15173159,15177765,-,O-Glycosyl hydrolases family 17 protein
0.0013531773315455515,1.4745517323545143,0.294,0.078,1,12,Caacu.v4.1G000840,Chr1,1779069,1784724,+,RNA-binding (RRM/RBD/RNP motifs) family protein
0.0015151532116556884,2.238375539469271,0.294,0.083,1,12,Caacu.v4.1G020360,Chr1,25938560,25942680,-,BAX inhibitor
0.001596314422394857,1.5979585512268515,0.412,0.15,1,12,Caacu.v4.4G017470,Chr4,19933345,19934757,-,GAST1 protein homolog
0.008795914936123108,1.5789473853019746,0.353,0.103,1,12,Caacu.v4.3G006860,Chr3,5752267,5753197,+,germin
